Date,OrderID,Category,Item,Quantity,Price,PaymentMethod,Total
2026-03-22,ORD-01000,Drinks,Sprite,1,2.99,Card,2.99
2026-03-22,ORD-01001,Pizza,Hawaiian,1,17.99,Debit,17.99
2026-03-22,ORD-01001,Drinks,Coffee,1,3.49,Debit,3.49
2026-03-22,ORD-01001,Drinks,Coke,1,2.99,Debit,2.99
2026-03-22,ORD-01002,Pizza,Margherita,1,14.99,Card,14.99
2026-03-22,ORD-01002,Pizza,Meat Lovers,1,19.99,Card,19.99
2026-03-22,ORD-01003,Pizza,BBQ Chicken,1,18.99,Cash,18.99
2026-03-22,ORD-01003,Drinks,Sprite,1,2.99,Cash,2.99
2026-03-22,ORD-01004,Pizza,Meat Lovers,1,19.99,Card,19.99
2026-03-22,ORD-01004,Sides,Garlic Bread,1,6.99,Card,6.99
2026-03-22,ORD-01005,Drinks,Coffee,1,3.49,Card,3.49
2026-03-22,ORD-01005,Pizza,Margherita,1,14.99,Card,14.99
2026-03-22,ORD-01005,Desserts,Cheesecake,1,7.99,Card,7.99
2026-03-22,ORD-01005,Pizza,Meat Lovers,1,19.99,Card,19.99
2026-03-22,ORD-01006,Pizza,Vegetarian,1,15.99,Debit,15.99
2026-03-22,ORD-01007,Sides,Mozzarella Sticks,2,9.99,Card,19.98
2026-03-22,ORD-01007,Drinks,Coffee,1,3.49,Card,3.49
2026-03-22,ORD-01007,Drinks,Sprite,1,2.99,Card,2.99
2026-03-22,ORD-01008,Sides,Caesar Salad,1,8.99,Debit,8.99
2026-03-22,ORD-01008,Pizza,Margherita,1,14.99,Debit,14.99
2026-03-22,ORD-01009,Pizza,Hawaiian,1,17.99,Debit,17.99
2026-03-22,ORD-01009,Drinks,Sprite,1,2.99,Debit,2.99
2026-03-22,ORD-01009,Pizza,Vegetarian,1,15.99,Debit,15.99
2026-03-22,ORD-01010,Pizza,Pepperoni,1,16.99,Debit,16.99
2026-03-22,ORD-01010,Pizza,Hawaiian,1,17.99,Debit,17.99
2026-03-22,ORD-01011,Pizza,Pepperoni,1,16.99,Cash,16.99
2026-03-22,ORD-01011,Drinks,Sprite,1,2.99,Cash,2.99
2026-03-22,ORD-01012,Pizza,Vegetarian,1,15.99,Card,15.99
2026-03-22,ORD-01013,Drinks,Coffee,1,3.49,Card,3.49
2026-03-22,ORD-01013,Sides,Mozzarella Sticks,1,9.99,Card,9.99
2026-03-22,ORD-01013,Desserts,Tiramisu,1,7.99,Card,7.99
2026-03-22,ORD-01014,Sides,Chicken Wings,1,12.99,Card,12.99
2026-03-22,ORD-01014,Sides,Garlic Bread,1,6.99,Card,6.99
2026-03-22,ORD-01015,Drinks,Coffee,1,3.49,Debit,3.49
2026-03-22,ORD-01015,Pizza,Vegetarian,1,15.99,Debit,15.99
2026-03-22,ORD-01015,Pizza,Meat Lovers,1,19.99,Debit,19.99
2026-03-22,ORD-01016,Pizza,Margherita,1,14.99,Card,14.99
